"","Date","USA_Health","Chinese_Health","Japanese_Health","German_Health","Brazil_Health","UK_Health","Italy_Health","Russia_Health","India_Health"
"1",2013-12-31,9145.82815144,645.63036627,3741.3393608,4811.81540521,1453.8981854,3310.70487195,3126.04610941,1586.5640261,214.68001324
"2",2012-12-31,8845.18033268,577.85021079,3631.80716228,4634.8969398,1387.81510872,3234.71670299,3153.18412736,1528.86721141,195.57343353
"3",2011-12-31,8553.07716042,504.69269462,3458.29675128,4612.4722198,1311.94978557,3224.24181751,3203.20912237,1515.4013276,187.010758
"4",2010-12-31,8298.50092546,440.70016986,3236.83305827,4426.07532301,1240.69060392,3223.454052,3161.62424977,1409.66911967,173.9439955
"5",2009-12-31,8054.45091643,410.25613102,3036.4143505,4221.61727113,1134.5110182,3401.72127513,3119.7704292,1448.74314969,167.36164992
"6",2008-12-31,7825.18421488,337.43991848,2881.80326865,3968.1119171,1082.8371948,3204.34469242,3026.98817482,1235.04445558,152.77385099
"7",2007-12-31,7538.25958388,285.77859667,2740.91551074,3718.1676637,1021.01644313,3030.29050701,2775.45485728,890.4145487,144.29839961
"8",2006-12-31,7155.69930489,256.41960622,2605.66736537,3569.07357355,951.33922694,2947.10510685,2730.32147401,787.67477711,134.55329868
"9",2005-12-31,6775.93093422,228.56563624,2490.78371639,3361.86159844,882.92971103,2710.70221865,2504.03256212,614.40717899,127.7615263
"10",2004-12-31,6401.40697949,202.90852537,2348.22936729,3164.39360372,715.43666181,2536.23301912,2366.8958693,529.80768621,121.75551474
"11",2003-12-31,6030.03884285,184.24459751,2232.63321494,3097.24384708,657.03059654,2341.98499926,2246.80006991,518.22749543,106.34057233
"12",2002-12-31,5607.13088771,163.8973982,2139.77149995,2944.87794661,660.78676191,2194.3824826,2213.41234488,480.18215699,100.53059083
"13",2001-12-31,5167.73801043,141.76821959,2070.6142057,2811.63399623,649.28677308,2018.22404877,2202.37570291,417.53092157,98.94144638
"14",2000-12-31,4817.87774671,129.82925504,1992.17542026,2682.18222786,626.18994011,1832.61968812,2031.01722874,369.61456977,88.99918393
"15",1999-12-31,4551.94417971,115.84820733,1850.96685835,2591.48240937,589.10624445,1673.4491276,1843.54704426,342.63504417,80.50193798
"16",1998-12-31,4328.48665665,102.91623633,1768.01729209,2488.56067587,559.09428479,1552.86476921,1788.69303758,361.72954656,79.05180771
"17",1997-12-31,4142.7095598,87.08379308,1717.95947066,2417.7287203,567.1778593,1482.24874092,1687.38021708,404.49563396,74.07882201
"18",1996-12-31,3972.16301268,73.73269171,1680.81079285,2403.46018637,550.97162157,1434.9191219,1568.85669019,306.05505214,65.39990835
"19",1995-12-31,3810.25476746,61.30495856,1577.78292303,2275.81725986,522.45146242,1347.13811617,1495.94539521,300.78421771,62.69371392
