"","Date","USA_Internet_Users","Chinese_Internet_Users","Japanese_Internet_Users","German_Internet_Users","French_Internet_Users","Brazil_Internet_Users","UK_Internet_Users","Italian_Internet_Users","Russian_Internet_Users","Indian_Internet_Users"
"1",2013-12-31,84.2,45.8,89.71,84.17,81.9198,51.6,89.8441,58.4593,67.97,15.1
"2",2012-12-31,79.3,42.3001174856,79.4964,82.349998473839,81.44,48.56,87.479998424211,55.829997993283,63.8,12.580060913895
"3",2011-12-31,69.729460761927,38.3,79.054113524474,81.26999953602,77.819998992671,45.69,85.379998549632,54.389998301881,49,10.07
"4",2010-12-31,71.69,34.3,78.21,82,77.28,40.65,85,53.68,43,7.5
"5",2009-12-31,71,28.9,78,79,71.58,39.22,83.56,48.83,29,5.12
"6",2008-12-31,74,22.6,75.4,78,70.68,33.83,78.39,44.53,26.83,4.38
"7",2007-12-31,75,16,74.3,75.16,66.09,30.88,75.09,40.79,24.66,3.95
"8",2006-12-31,68.931193269972,10.523152619385,68.68527032138,72.16,46.87,28.178380179793,68.82,37.99,18.023277461722,2.8054998653425
"9",2005-12-31,67.968052915002,8.5232570026954,66.92106610429,68.71,42.87,21.022747248827,70,35,15.226673197652,2.3880749999577
"10",2004-12-31,64.75825647599,7.3,62.393929632726,64.73,39.15,19.073672274442,65.61,33.24,12.859388900847,1.9761364919056
"11",2003-12-31,61.697117124421,6.2,48.435265889965,55.9,36.14,13.20758610353,64.82,29.04,8.2988606155391,1.6864899706362
"12",2002-12-31,58.785403883695,4.5957043307755,46.594201117992,48.82,30.18,9.1494250856075,56.48,28.04,4.1282718179664,1.5378755817508
"13",2001-12-31,49.080831589695,2.6396502148587,38.532060861272,31.650939416316,26.325903552169,4.5284948690285,33.481094874415,27.222116978881,2.9443677866498,0.66014637700993
"14",2000-12-31,43.07916263752,1.7759132067742,29.990740358914,30.216346604889,14.307923943068,2.8706851585411,26.821754350858,23.110874244104,1.9772301089765,0.52753244993095
"15",1999-12-31,35.848724455991,0.70818795680132,21.391290312434,20.845982639027,9.1253178886054,2.0387321835194,21.293638266637,14.378410192862,1.018984614032,0.27322427673499
"16",1998-12-31,30.093196588091,0.16854029731654,13.414040882021,9.8778524280554,6.3197787217521,1.4778749586313,13.669983095699,4.5585195653676,0.81274445067233,0.13902732879964
"17",1997-12-31,21.616400968674,0.032394860934009,9.1630771402812,6.7110874766947,4.2550038717111,0.78607915502659,7.3853989565956,2.2767378339887,0.4729637629624,0.070767848708918
"18",1996-12-31,16.419352960077,0.01308169179509,4.3729819682076,3.0548052342939,2.5840339790847,0.45078917894953,4.1236503356883,1.0232899032772,0.26975292971745,0.046333976735515
"19",1995-12-31,9.2370882972938,0.0049547095041513,1.5943631482218,1.8377377536464,1.6379472445124,0.10513816781801,1.895168283966,0.5244127874702,0.14815104233114,0.026228878813705
"20",1994-12-31,4.862780634624,0.0011681145300252,0.79968429103937,0.92254104311298,0.89986742530105,0.037672709358783,1.0366091657259,0.19230461946814,0.053817492719435,0.0010695623867526
"21",1993-12-31,2.2716732937624,0.00016868027095486,0.40127752639435,0.4636350964795,0.59061938341595,0.025498253238975,0.51976200097975,0.12246205268374,0.013447237892961,0.00021817567673486
"22",1990-12-31,0.78472850220279,0,0.020293682872809,0.12589222336544,0.052777861587067,0,0.087355319281159,0.017544562355015,0,0
