"","Date","US_Unemployment_Percent","Chinese_Unemployment_Percent","Japanese_Unemployment_Percent","German_Unemployment_Percent","French_Unemployment_Percent","Brazil_Unemployment_Percent","UK_Unemployment_Percent","Italian_Unemployment_Percent","Russian_Unemployment_Percent"
"1",2021-12-31,5.028,4.05,3.307,4.847,9.128,10,5.3,9.292,5.5
"2",2020-12-31,4.995,4.05,3.307,4.9,9.316,10.043,5.3,9.692,5.5
"3",2019-12-31,4.901,4.05,3.307,4.928,9.58,10.223,5.3,10.092,5.5
"4",2018-12-31,4.821,4.05,3.307,4.929,9.915,10.396,5.1,10.492,5.75
"5",2017-12-31,4.836,4.05,3.267,4.819,10.031,10.183,4.996,10.892,6.25
"6",2016-12-31,4.851,4.05,3.267,4.583,10.141,9.185,4.996,11.392,6.5
"7",2015-12-31,5.283,4.05,3.367,4.633,10.35,6.833,5.376,11.892,5.575
"8",2014-12-31,6.167,4.09,3.583,5.008,10.292,4.842,6.2,12.642,5.2
"9",2013-12-31,7.375,4.05,4.008,5.225,10.283,5.392,7.6,12.125,5.5
"10",2012-12-31,8.075,4.09,4.325,5.367,9.758,5.483,7.975,10.675,5.5
"11",2011-12-31,8.933,4.09,4.583,5.858,9.208,5.967,8.1,8.383,6.5
"12",2010-12-31,9.608,4.14,5.058,6.942,9.25,6.75,7.9,8.342,7.3
"13",2009-12-31,9.283,4.3,5.075,7.675,9.108,8.075,7.625,7.725,8.2
"14",2008-12-31,5.8,4.2,3.983,7.408,7.433,7.892,5.725,6.733,6.2
"15",2007-12-31,4.617,4,3.833,8.575,8,9.275,5.35,6.125,6
"16",2006-12-31,4.608,4.1,4.117,10.042,8.817,9.983,5.425,6.808,7
"17",2005-12-31,5.083,4.2,4.425,11,8.858,9.833,4.825,7.7,7.1
"18",2004-12-31,5.542,4.2,4.733,10.333,8.858,11.483,4.75,7.983,7.7
"19",2003-12-31,5.992,4.3,5.242,9.708,8.483,12.317,5,8.45,8.2
"20",2002-12-31,5.783,4,5.358,8.6,8.275,11.683,5.2,8.608,8
"21",2001-12-31,4.742,3.6,5.042,7.8,8.458,11.265,5.1,9.1,8.939
"22",2000-12-31,3.967,3.1,4.733,7.95,9.175,7.1,5.45,10.1,10.591
"23",1999-12-31,4.217,3.1,4.667,8.558,10.442,7.6,5.975,10.942,13.001
"24",1998-12-31,4.5,3.1,4.1,9.383,10.692,7.597,6.25,11.333,11.889
"25",1997-12-31,4.942,3.1,3.4,9.658,10.892,5.684,6.95,11.242,10.819
"26",1996-12-31,5.408,3,3.367,8.908,10.833,5.433,8.1,11.15,9.606
"27",1995-12-31,5.592,2.9,3.15,8.233,10.508,4.65,8.625,11.15,8.534
"28",1994-12-31,6.1,2.8,2.892,8.425,10.667,4.641,9.5,10.633,7.233
"29",1993-12-31,6.908,2.6,2.5,7.775,10.267,5.43,10.375,9.833,5.285
"30",1992-12-31,7.492,2.3,2.15,6.592,9.442,5.8,9.95,8.808,4.768
